Song,Title,Singer,About,일치여부
봄 사랑 벚꽃 말고,"봄, 사랑, 벚꽃 말고 (Not Spring, Love, Or Cherry Blossoms)!",HIGH4 & IU,"Even before its release, HIGH4 with IU’s ‘Not Spring, Love, or Cherry Blossoms’ was a big issue for HIGH4’s collaboration with IU. The song was released at noon on April 7th.
IU participated in not only writing HIGH4’s debut song, ‘Not Spring, Love, or Cherry Blossoms’, but in its music video. She gave her full support to HIGH4 for them to enter the music industry.
HIGH4 with IU’s ‘Not Spring, Love, or Cherry Blossoms’ expresses the loneliness one feels in spring through its witty lyrics and sweet melody. It is a spring song for singles in which IU’s fresh voice and High4’s gentle voice and raps go together nicely.",불일치
되돌리다,되돌리다 (Return)!,Lee Seung Gi (이승기),-,불일치
사랑했지만,사랑했지만 (Even Though I Loved You)!,Ji Chang Wook,-,불일치
우연히 봄,우연히 봄 (Spring is Gone by Chance)!,Loco & YUJU,"“Spring is Gone by Chance” is an OST from the drama The Girl Who Sees Scents sung by Loco and Yuju.
This is a love song that captures the moment when two people who were separated reunite unexpectedly. The lyrics describe the feeling of excitement and anticipation when they sense each other’s presence, as if Spring is in the air.",불일치
청소 (여름날 우리 X 스탠딩 에그),일단 뜨겁게 청소하라 (Cleaning)!,Crying Nut,-,불일치
봄이야,봄이야 (flutter)!,KyoungSeo (경서),-,불일치
Hello,Hello,Adele,"Almost five years after her groundbreaking 21, Adele examines the past and tries to right her wrongs on “Hello.” On the surface, the song appears to be about a break-up from long ago, but the song can also be interpreted as Adele’s attempt at reconciliation with her former self. In a tweet, Adele called 21 a “break-up record” and 25 a “make-up record.”
Adele revealed the broad inspiration for the song:
No, it’s not about anyone specifically. It’s about friends, ex-boyfriends, it’s about myself, it’s about my family. It’s also about my fans as well.
A day before the release, Zane Lowe interviewed Adele about her future goals, touring, the album, and the “Hello” music video. Although “Hello” was released on October 23, 2015, a portion of the song was first featured during a commercial break on the UK’s X Factor on October 18, 2015.
The accompanying music video broke the Vevo record for the most views in 24 hours with 27.7 million total. Taylor Swift previously held the record with her video for “Bad Blood”, which had 20.1 million views in a single day. “Hello” was directed by Xavier Dolan and was the first music video to be shot by IMAX cameras.
In the US, “Hello” debuted at number 1 on the Hot 100, selling a whopping 1,112,000 downloads in its first week, almost doubling Flo Rida’s previous sales record (636,000 with “Right Round”.) The track significantly broke various streaming records after being replayed 61 million times in its first week.
In an interview with i-D, Adele contextualizes “Hello”:
The song is about hurting someone’s feelings but it’s also about trying to stay in touch with myself, which sometimes can be a little bit hard to do,“ she explains. ""It’s about a yearning for the other side of me. When I’m away, I really, really miss my life at home. The way that I feel when I’m not in England, is…” (she pauses) “desperation. I can’t breathe anywhere else.” Why? “I dunno. I’m so attached to my whole life here. I get worked up that I’m missing out on things. So ‘Hello’ is about wanting to be at home and wanting to reach out to everyone I’ve ever hurt – including myself – and apologize for it.",일치
사랑이 이별이 돼 가는 모습이,사랑이 이별이 돼 가는 모습이 (When love becomes goodbye)!,BOL4,-,불일치
혼자가 아닌 나,혼자가 아닌 나 (I’m not alone)!,Jeong Hyo Bean (정효빈),-,불일치
니 번호가 뜨는 일,니 번호가 뜨는 일 (Everyday waiting you)!,Lee Yejoon (이예준),-,불일치
"피어나 (Between you, me and the lamppost)",피어나도록 (love you twice)!,HUH YUNJIN (허윤진),"HUH YUNJIN comes back again with her new self-produced song, “love you twice” after create a great impact on the idol industry last time with I ≠ DOLL.
Talkin' about herself, still lacking in many things but still got many loves from FEARNOT. Felt that love was undeserved and wanna become a better person to provide further love and good influence to all fans who always supported her.
The video part got RAMDARAM, an artist who got noticed by YUNJIN from making an animation video for ANTIFRAGILE on Instagram, animated the video to describe YUNJIN’s story life with her fans and without her fans.",불일치
너와 함께,너와 함께한 시간 속에서 (In The Time Spent With You)!,HEIZE (헤이즈),-,불일치
바보가슴,바보가슴 (an idiotic heart)!,Song Haye & HANBIN,-,불일치
이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM),이러면 안 될 거 아는데 너 앞에만 서면 나락 (I’m not myself when I’m around you)!,DinDin (딘딘),-,불일치
있잖아,있잖아 (Hey) - Rock Ver.!,IU (아이유),-,불일치
화장을 고치고,화장을 고치고 (Putting On A Make-Up)!,Wax (왁스) (KOR),-,불일치
우린 헤어지지 않았을까,우린 헤어지지 않았을까 (What If)!,Kim Na Young (김나영),-,불일치
사랑한다고 말해줘,사랑한다고 말해줘 (Tell me you love me)!,TopHyun (탑현),-,불일치
사랑해도 될까요,사랑해도 될까요 (Shall We Love)!,APRIL,-,불일치
사랑의 인사,사랑의 인사 (Lovely Sweet Heart)!,Kim Yeon Ji (김연지),-,불일치
혼자서 걸어요 (Prod. by 나얼),혼자서 걸어요 (Nights Into Days)!,TAEYEON (태연),-,불일치
이젠 안녕,TOMORROW X TOGETHER - 이젠 안녕 (Goodbye Now) (English Translation)!,Genius English Translations,-,불일치
미친거니,미친거니 (Crazy)!,Song Ji Eun,-,불일치
Love Blossom (러브블러썸),Hello Love!,Blossom Dearie,By Michael Preston and Dion McGregor. 1959,불일치
그 겨울이 잠든 거리에서,그 겨울이 잠든 거리에서 (The street where our winter is)!,GyeongseoYeji & Jeon Gunho,-,불일치
꽃,JISOO - 꽃 (FLOWER) (English Translation)!,Genius English Translations,"“FLOWER” is the lead single in JISOO’s debut single album “ME”. The song is about “a woman who feels cheated and taken for granted in the relationship”. With the use of floral metaphor, the song is more about how happy the woman is after that broken relationship and she’s ready to “blossom”. “FLOWER” set a record of having the highest views in the music video of any K-Pop music videos in 2023 so far (as by 31 March, 2023).",불일치
너는 기억한다,너는 기억한다 (You Remember)!,Paul Kim (폴킴),-,불일치
I Need You,Lord I Need You!,Kanye West,"On “Lord I Need You,” Kanye reflects on his strained relationship with estranged wife Kim Kardashian in light of the couple’s separation.
In the bittersweet song, Ye accepts the reality of their separation, recounting the good aspects that she has brought into his life, such as their children. Kanye even specifically highlights Kim’s presence at his Donda listening events, expressing his gratitude for her support post their separation.",불일치
걸음을 멈추는 날,걸음을 멈추는 날 (Dayspring)!,NAUL (나얼),-,불일치
사계 (Four Seasons),TAEYEON - 사계 (Four Seasons) (Romanized)!,Genius Romanizations,-,불일치
오랜만이야,AleXa - 오랜만이야 (Never Let You Go) (English Translation)!,Genius English Translations,-,불일치
나였으면,나였으면 (If It Was Me)!,Na Yoon Kwon (나윤권),-,불일치
뻔한 발라드,뻔한 발라드 (Korean Ballad)!,BIG Naughty (서동현),-,불일치
아픈 나를 (Prod. By 나얼),아픈 나를 (Lovesick)!,Sung Si-Kyung (성시경),-,불일치
하루에 하나씩,하루에 하나씩 (One At A Time)!,Paul Kim (폴킴),-,불일치
그래서 그대는,그래서 그대는 (So you)!,Lee Young Hyun (이영현),-,불일치
바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),"바보에게 바보가 (Dear, My Fool)!",Lee Seok Hoon (이석훈),-,불일치
다시 와주라,다시 와주라 (Please Come Back Again)!,Lee Yejoon (이예준),-,불일치
통화연결음,통화연결음 (Ring Back Tone)!,Boramiyu & MJ (SUNNYSIDE),-,불일치
고백연습,고백연습 (CHECKLIST)!,KyoungSeo (경서),-,불일치
첫 만남은 계획대로 되지 않아,TWS - 첫 만남은 계획대로 되지 않아 (plot twist) (Romanized)!,Genius Romanizations,"“첫 만남은 계획대로 되지 않아 (plot twist),” the title track from TWS’s debut mini-album, Sparkling Blue, is an electrifying hybrid-pop song that perfectly captures the excitement and uncertainty of a first meeting. With its powerful drums, exhilarating guitar riffs, and captivating synth sounds, the song begins with an intro that feels like stepping into a dream. The contrasting lyrics further enhance the song’s message, portraying the awakening from a dream-like state.
TWS, a rookie boy group, aims to bring forth naturalness and honesty in their music, and it’s immediately evident in their debut title song. Through “첫 만남은 계획대로 되지 않아 (plot twist),” they candidly express the excitement they feel at this very moment. The thrill and exhilaration of a first encounter resonate with everyone, and TWS channels this excitement into their debut song.
The accompanying music video for “첫 만남은 계획대로 되지 않아 (plot twist)” follows a school drama concept, capturing the vibrant moments of boyhood against the backdrop of a school setting. The video symbolizes the space of youth by showcasing scenes of friends, the dust settling on the white playground, sunlit classrooms, square desks, and green chalkboards. The storyline is a plot twist as the title suggests. They prepare themselves all night to make the first encounters perfect, but everything doesn’t go as they’ve planned.",불일치
Love 119,Love 119,RIIZE,-,일치
Perfect Night,Perfect Night,LE SSERAFIM,"In collaboration with the video game, Overwatch 2, here’s LE SSERAFIM with their first ever English release, “Perfect Night.” This single marks the game’s first-ever in-game musical artist collaboration. Alongside the release of the single “Perfect Night” is an exclusive in-game event, featuring a limited LE SSERAFIM-inspired game mode and exclusive in-game items such as LE SSERAFIM-inspired legendary skins for Overwatch 2 heroes Brigitte, Tracer, Sombra, D.VA, and Kiriko.
On the chill dance-pop track, LE SSERAFIM sing about the fun and exciting energy when they’re with their friends late at night.",일치
Wife,Wife You Up!,Russ,-,불일치
Super Lady,Super Lady,(G)I-DLE,"“Super Lady” is the lead single from the second full-length album, 2, by (G)I-DLE. This empowering song is dedicated to all the superwomen in the world, celebrating their beauty and strength.
With its bold lyrics, the song encourages everyone to face hardships and adversity head-on while emphasizing the importance of unity and collective progress.
Their unwavering confidence leads to a dynamic performance directed by Kirsten Dodgen, who has worked with global artists including Justin Bieber, Rihanna, Ciara, CL, and more.
To convey the song’s message, the music video referenced powerful women such as Taylor Swift and Cruella in MIYEON and YUQI’s scenes.
Top Left: YUQI's scene in ""Super Lady"" music video | Top Right: Emma Stone in Cruella | Bottom Left: MIYEON's scene in ""Super Lady"" music video | Bottom Right: Taylor Swift in ""Look What You Made Me Do"" music video",일치
I AM,The Way I Am!,Eminem,"The second single from Eminem’s Marshall Mathers LP, also featured on his 2005 album Curtain Call: The Hits
In the tradition of most of Eminem’s follow-up singles, “The Way I Am” features a much darker and emotionally driven sound than the album’s lead single, “The Real Slim Shady”. However, “The Way I Am” was actually recorded before “The Real Slim Shady”, as a direct result of the record company putting pressure on Em to create a poppy first single for the album.
The song has also been remixed by Danny Lohner featuring Marilyn Manson, who has performed the song with Eminem live on stage.
https://www.youtube.com/watch?v=rDgokTyrzMc
It’s worth noting somewhere that this is one of the only rap songs to rely heavily on anapestic tetrameter— four anapestic feet (da da DUM) per line. In fact, the entire track except the hook uses this meter.
Anapestic tetrameter is more familiar from comic poetry, as in Twas the night before Christmas, Yertle the Turtle, and other Doctor Seuss stories–meaning that this form is not suited for the anger Em expresses in this rap, but being controversial is what he does best.",불일치
